metric,value
total_rows,592
total_pieces,83
total_tools,4
valid_rows,484
invalid_rows,108
valid_rate_pct,81.76
status::infeasible_cannot_lift,78
status::solver_error,30
status::valid,484
tool::H04_pos0_tool::attempts,148
tool::H04_pos0_tool::valid,134
tool::H04_pos0_tool::invalid,14
tool::H04_pos0_tool::success_rate_pct,90.54
tool::H04_pos1_tool::attempts,148
tool::H04_pos1_tool::valid,135
tool::H04_pos1_tool::invalid,13
tool::H04_pos1_tool::success_rate_pct,91.22
tool::tool_A::attempts,148
tool::tool_A::valid,104
tool::tool_A::invalid,44
tool::tool_A::success_rate_pct,70.27
tool::tool_B::attempts,148
tool::tool_B::valid,111
tool::tool_B::invalid,37
tool::tool_B::success_rate_pct,75.00
